state,date,gini
Perlis,2014-01-01,0.346
Perlis,2016-01-01,0.327
Perlis,2019-01-01,0.334
Perlis,2022-01-01,0.336
Pulau Pinang,1974-01-01,0.597
Pulau Pinang,1976-01-01,0.608
Pulau Pinang,1979-01-01,0.492
Pulau Pinang,1984-01-01,0.452
Pulau Pinang,1987-01-01,0.422
Pulau Pinang,1989-01-01,0.406
Pulau Pinang,1992-01-01,0.412
Pulau Pinang,1995-01-01,0.405
Pulau Pinang,1997-01-01,0.398
Pulau Pinang,1999-01-01,0.399
Pulau Pinang,2002-01-01,0.435
Pulau Pinang,2004-01-01,0.398
Pulau Pinang,2007-01-01,0.411
Pulau Pinang,2009-01-01,0.419
Pulau Pinang,2012-01-01,0.37
Pulau Pinang,2014-01-01,0.364
Pulau Pinang,2016-01-01,0.356
Pulau Pinang,2019-01-01,0.359
Pulau Pinang,2022-01-01,0.371
Sabah,1979-01-01,0.49
Sabah,1984-01-01,0.491
Sabah,1987-01-01,0.467
Sabah,1989-01-01,0.459
Sabah,1992-01-01,0.468
Sabah,1995-01-01,0.448
Sabah,1997-01-01,0.454
Sabah,1999-01-01,0.448
Sabah,2002-01-01,0.465
Sabah,2004-01-01,0.477
Sabah,2007-01-01,0.451
Sabah,2009-01-01,0.454
Sabah,2012-01-01,0.427
Sabah,2014-01-01,0.387
Sabah,2016-01-01,0.402
Sabah,2019-01-01,0.397
Sabah,2022-01-01,0.395
Sarawak,1979-01-01,0.501
Sarawak,1984-01-01,0.498
Sarawak,1987-01-01,0.465
Sarawak,1989-01-01,0.441
Sarawak,1992-01-01,0.467
Sarawak,1995-01-01,0.44
Sarawak,1997-01-01,0.447
Sarawak,1999-01-01,0.407
Sarawak,2002-01-01,0.445
Sarawak,2004-01-01,0.44
Sarawak,2007-01-01,0.442
Sarawak,2009-01-01,0.448
Sarawak,2012-01-01,0.44
Sarawak,2014-01-01,0.391
Sarawak,2016-01-01,0.386
Sarawak,2019-01-01,0.387
Sarawak,2022-01-01,0.382
Selangor,1974-01-01,0.507
Selangor,1976-01-01,0.516
Selangor,1979-01-01,0.505
Selangor,1984-01-01,0.481
Selangor,1987-01-01,0.462
Selangor,1989-01-01,0.444
Selangor,1992-01-01,0.446
Selangor,1995-01-01,0.424
Selangor,1997-01-01,0.409
Selangor,1999-01-01,0.394
Selangor,2002-01-01,0.423
Selangor,2004-01-01,0.443
Selangor,2007-01-01,0.418
Selangor,2009-01-01,0.424
Selangor,2012-01-01,0.396
Selangor,2014-01-01,0.379
Selangor,2016-01-01,0.372
Selangor,2019-01-01,0.393
Selangor,2022-01-01,0.361
Terengganu,1974-01-01,0.502
Terengganu,1976-01-01,0.482
Terengganu,1979-01-01,0.458
Terengganu,1984-01-01,0.461
Terengganu,1987-01-01,0.478
Terengganu,1989-01-01,0.459
Terengganu,1992-01-01,0.448
Terengganu,1995-01-01,0.464
Terengganu,1997-01-01,0.466
Terengganu,1999-01-01,0.44
Terengganu,2002-01-01,0.424
Terengganu,2004-01-01,0.443
Terengganu,2007-01-01,0.399
Terengganu,2009-01-01,0.418
Terengganu,2012-01-01,0.426
Terengganu,2014-01-01,0.36
Terengganu,2016-01-01,0.328
Terengganu,2019-01-01,0.335
Terengganu,2022-01-01,0.326
W.P. Kuala Lumpur,1984-01-01,0.486
W.P. Kuala Lumpur,1987-01-01,0.465
W.P. Kuala Lumpur,1989-01-01,0.428
W.P. Kuala Lumpur,1992-01-01,0.443
W.P. Kuala Lumpur,1995-01-01,0.423
W.P. Kuala Lumpur,1997-01-01,0.417
W.P. Kuala Lumpur,1999-01-01,0.414
W.P. Kuala Lumpur,2002-01-01,0.448
W.P. Kuala Lumpur,2004-01-01,0.467
W.P. Kuala Lumpur,2007-01-01,0.446
W.P. Kuala Lumpur,2009-01-01,0.374
W.P. Kuala Lumpur,2012-01-01,0.442
W.P. Kuala Lumpur,2014-01-01,0.407
W.P. Kuala Lumpur,2016-01-01,0.378
W.P. Kuala Lumpur,2019-01-01,0.35
W.P. Kuala Lumpur,2022-01-01,0.38
W.P. Labuan,2007-01-01,0.388
W.P. Labuan,2009-01-01,0.387
W.P. Labuan,2012-01-01,0.383
W.P. Labuan,2014-01-01,0.385
W.P. Labuan,2016-01-01,0.398
W.P. Labuan,2019-01-01,0.333
W.P. Labuan,2022-01-01,0.3
W.P. Putrajaya,2007-01-01,0.362
W.P. Putrajaya,2009-01-01,0.342
W.P. Putrajaya,2012-01-01,0.305
W.P. Putrajaya,2014-01-01,0.374
W.P. Putrajaya,2016-01-01,0.369
W.P. Putrajaya,2019-01-01,0.361
W.P. Putrajaya,2022-01-01,0.368
